num_lectures,price,days_since_published,content_duration
12,20,3434,1.0
30,85,2921,2.5
100,50,2916,6.0
13,0,2396,1.0
66,70,2489,6.5
40,50,2594,3.0
13,0,1998,2.0
30,95,2802,2.5
15,0,2942,2.5
9,25,2302,1.0
9,20,2526,1.0
15,200,2053,0.7333333333333333
21,55,2288,1.0
18,40,2770,2.5
18,50,2077,2.0
19,200,2208,1.5
211,200,2683,19.5
67,195,2553,7.0
49,60,2429,3.0
64,50,2306,4.5
74,25,2700,14.0
36,0,2025,5.0
34,25,2512,4.0
8,20,1942,0.5833333333333334
10,40,2246,0.6166666666666667
15,50,2232,0.6666666666666666
96,150,2490,11.0
115,100,2181,11.5
71,50,3191,1.5
126,50,2916,7.5
35,50,2588,2.0
7,50,2364,1.0
60,40,2257,2.0
19,200,2001,2.0
94,50,2428,13.0
33,20,2435,2.0
21,150,2074,2.0
30,145,2650,1.5
23,0,2040,2.0
43,30,2103,2.5
15,45,2441,2.0
72,200,2350,5.5
12,0,2788,1.0
32,20,2683,1.5
21,200,2343,2.0
18,20,2625,1.5
29,105,2950,2.5
27,45,1971,3.5
87,50,3378,47.0
